byline,headline,summary,time,url
,Review: A Cool-Tempered ‘Othello’ for Warm Central Park Nights,,,https://www.nytimes.com/2018/06/18/theater/othello-shakespeare-in-the-park-review.html
,Newly Discovered ‘Limb Pit’ Reveals Civil War Surgeons’ Bitter Choices,,,https://www.nytimes.com/2018/06/20/science/civil-war-archaeology-bones-limbs.html
,ScienceTake: The Elephant’s Superb Nose,,,https://www.nytimes.com/2018/06/19/science/elephants-smell-trunk.html
,Trilobites: Sea Stars Started Dissolving. What Helped Some of Them Survive?,,,https://www.nytimes.com/2018/06/18/science/sea-stars-genes.html
,"Peter Thomson, 88, Australian Golfer With 5 British Open Wins, Dies",,,https://www.nytimes.com/2018/06/20/obituaries/peter-thomson-australian-golfer.html
,"Bonaldo Giaiotti, Stalwart Operatic Bass, Dies at 85",,,https://www.nytimes.com/2018/06/19/obituaries/bonaldo-giaiotti-stalwart-operatic-bass-dies-at-85.html
,"Matt Murphy, Master of Blues Guitar, Is Dead at 88",,,https://www.nytimes.com/2018/06/19/obituaries/matt-murphy-master-of-blues-guitar-is-dead-at-88.html
,Fox News Faces Criticism of Family Separation Coverage From Inside Murdoch Empire,,,https://www.nytimes.com/2018/06/19/business/media/fox-news-immigration-coverage-celebrities.html
,The First Time: Betty Gilpin: The First Time I Bought a Crumbling 1834 Farmhouse,,,https://www.nytimes.com/2018/06/19/arts/television/glow-netflix-betty-gilpin.html
,Best of Late Night: Colbert Says Sanders Can’t Hide From Trump’s Immigration Policies,,,https://www.nytimes.com/2018/06/20/arts/television/colbert-sarah-huckabee-sanders-kirstjen-nielsen.html
,"Amazon, Berkshire Hathaway and JPMorgan Name C.E.O. for Health Initiative",,,https://www.nytimes.com/2018/06/20/health/amazon-berkshire-hathaway-jpmorgan-atul-gawande.html
,"A Troubling Prognosis for Migrant Children in Detention: ‘The Earlier They’re Out, the Better’",,,https://www.nytimes.com/2018/06/18/health/migrant-children-mental-health.html
,"Global Health: Nearly Eradicated in Humans, the Guinea Worm Finds New Victims: Dogs",,,https://www.nytimes.com/2018/06/18/health/guinea-worms-dogs-chad.html
,"Explorer: On a Canoe Trip Along the U.S.-Canada Border, Solitude and Shooting Stars",,,https://www.nytimes.com/2018/06/20/travel/canoe-trip-maine-canada-border.html
